2016-4-17-16h23m18s
Name,Ticker,Bid,Ask,Prev Close,Open,Volume,Avg Vol (3 month),Avg Vol (10 day),Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Beta,52-Week Change,S&P500 52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Last Split Factor,Last Split Date,Earnings Date
Toromont Industries Ltd.,TIH.TO,34.69,34.85,34.75,34.65,"77,354","219,289","110,488",0.72,2.07%,1.10%,2.19%,36.56%,"Apr 1, 2016","Mar 8, 2016",0.79,4.34%,-0.94%,37.61,27.25,33.03,31.57,77850000.0,72810000.0,N/A,N/A,1560000.0,8.77,N/A,2710000000.0,2800000000.0,18.73,16.59,1.86,1.50,3.49,1.56,10.08,Dec 31,"Dec 31, 2015",8.08%,11.35%,10.72%,20.18%,1800000000.0,23.20,1.40%,N/A,277970000.0,145670000.0,1.86,-2.80%,66680000.00000001,0.86,153770000.0,19.83,2.55,9.95,113880000.0,-35970000.0,2:1,"Apr 1, 2004",N/A
Silvercorp Metals Inc.,SVM.TO,2.25,2.28,2.15,2.16,"422,338","583,094","879,812",N/A,N/A,0.20%,2.08%,N/A,"Jul 21, 2015","Jun 26, 2015",3.84,55.48%,-0.94%,2.49,0.60,1.69,1.05,166850000.0,161670000.0,N/A,N/A,4059999.9999999995,5.86,N/A,378740000.0,315810000.0,N/A,113.50,0.12,3.33,1.57,2.90,9.23,Mar 31,"Dec 31, 2015",-101.76%,10.35%,1.61%,-33.62%,108780000.0,0.64,-27.70%,N/A,34210000.0,-110690000.0,-0.65,-39.20%,66830000.0,0.40,0.0,N/A,1.92,1.37,32360000.0,-8830000.0,3:1,"Oct 29, 2007",May 19 - May 24 (Est.)
TransAlta Renewables Inc.,RNW.TO,12.47,12.56,12.51,12.50,"147,027","581,522","261,862",0.88,7.03%,6.70%,N/A,68.93%,"Apr 29, 2016","Feb 26, 2016",N/A,-0.95%,-0.94%,12.94,8.99,12.20,10.78,224130000.0,120280000.0,N/A,N/A,623940.0,0.91,N/A,2800000000.0,3600000000.0,10.55,15.06,5.35,12.98,1.20,16.65,21.04,Dec 31,"Dec 31, 2015",90.23%,44.17%,2.25%,12.94%,215990000.0,1.31,3.40%,N/A,170950000.0,194890000.0,1.19,395.80%,2240000.0,0.01,797370000.0,39.36,0.39,10.43,188590000.0,69540000.0,N/A,N/A,Apr 29 - May 3 (Est.)
Canadian Imperial Bank of Commerce,CM.TO,98.45,98.51,98.62,98.32,"645,442","1,272,400","1,009,960",4.72,4.79%,4.60%,4.47%,48.94%,"Apr 28, 2016","Mar 23, 2016",1.05,1.43%,-0.94%,102.90,82.19,96.02,94.71,394490000.0,394950000.0,N/A,N/A,16570000.0,11.31,N/A,38860000000.0,17710000000.0,10.92,10.09,2.13,2.97,1.88,1.35,N/A,Oct 31,"Jan 31, 2016",27.65%,35.04%,0.79%,17.61%,13140000000.0,33.08,1.60%,N/A,N/A,3590000000.0,9.02,6.20%,119050000000.0,301.25,97840000000.0,N/A,N/A,52.56,-13530000000.0,N/A,2:1,"Mar 25, 1997",N/A
Vermilion Energy Inc.,VET.TO,36.07,36.20,36.56,36.01,"352,806","479,089","626,300",2.58,7.06%,7.10%,N/A,N/A,"May 16, 2016","Mar 18, 2016",0.88,-39.03%,-0.94%,59.74,29.71,38.32,39.04,113450000.0,104730000.0,N/A,N/A,853400.0,1.75,N/A,4090000000.0,5390000000.0,N/A,100.19,2.65,4.66,2.19,6.17,9.78,Dec 31,"Dec 31, 2015",-24.87%,9.10%,1.16%,-11.20%,873670000.0,7.97,-22.20%,N/A,550790000.0,-217300000.0,-1.98,N/A,41680000.0,0.37,1410000000.0,75.94,0.56,16.68,444410000.0,-69200000.0,N/A,N/A,N/A
Premier Gold Mines Limited,PG.TO,3.40,3.41,3.34,3.34,"206,230","602,240","400,025",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.48,35.86%,-0.94%,3.60,1.65,3.24,2.75,175590000.0,165030000.0,0.02%,34.40%,466500.0,0.93,N/A,598760000.0,512690000.00000006,11.11,113.67,N/A,N/A,2.14,NaN,-724.87,Dec 31,"Sep 30, 2015",N/A,N/A,-2.73%,16.54%,N/A,N/A,N/A,N/A,-707280.0,49480000.0,0.31,N/A,78360000.0,0.46,7890000.0,2.96,7.60,1.56,3420000.0,-93500000.0,N/A,N/A,N/A
GRANITE REAL ESTATE INVESTMENT,GRT-UN.TO,36.30,36.46,36.40,36.34,"89,390",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dundee Corporation,DC-A.TO,6.00,6.07,6.03,5.99,"31,624","70,523","45,098",N/A,N/A,N/A,N/A,N/A,"Dec 31, 2014","Mar 15, 2007",1.58,-47.06%,-0.94%,12.62,3.78,5.51,5.94,55540000.0,43170000.0,N/A,N/A,1110000.0,10.03,N/A,354250000.0,380950000.0,N/A,N/A,N/A,1.22,0.35,1.31,2.95,Dec 31,"Sep 30, 2015",-200.69%,-50.60%,-3.24%,-48.50%,290200000.0,5.02,-22.70%,N/A,129060000.0,-589450000.0,-10.20,N/A,274450000.0,4.68,301180000.0,25.81,1.02,17.23,2270000.0,813270000.0,3:1,"Jul 4, 2007",N/A
China Gold International Resources Corp Ltd,CGG.TO,2.24,2.26,2.21,2.22,"117,320","344,684","324,450",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.28,9.71%,-0.94%,2.58,1.52,2.23,2.04,396410000.0,240430000.0,N/A,N/A,162260.0,0.25,N/A,895900000.0,1740000000.0,35.31,32.29,N/A,2.40,0.60,4.78,12.74,Dec 31,"Sep 30, 2015",6.97%,17.34%,1.39%,1.88%,364310000.0,0.92,12.00%,N/A,136760000.0,25400000.0,0.06,N/A,91990000.0,0.23,938480000.0,64.05,0.64,3.66,33310000.000000004,-189900000.0,N/A,N/A,May 4 - May 9 (Est.)
Innergex Renewable Energy Inc.,INE.TO,13.51,13.62,13.61,13.64,"103,053","224,419","164,575",0.64,4.70%,4.60%,5.66%,N/A,"Apr 15, 2016","Mar 29, 2016",0.55,20.41%,-0.94%,14.31,9.51,13.40,11.63,104010000.0,102310000.0,N/A,N/A,2700000.0,11.16,N/A,1410000000.0,3680000000.0,N/A,32.31,6.48,5.74,4.45,14.91,20.03,Dec 31,"Dec 31, 2015",-12.27%,43.85%,2.32%,-9.36%,246870000.0,2.41,-17.50%,N/A,183740000.0,-30300000.0,-0.37,N/A,40660000.0,0.39,2310000000.0,489.63,2.15,3.06,4560000.0,-446070000.0,N/A,N/A,N/A
Ritchie Bros. Auctioneers Incorporated,RBA.TO,36.62,36.88,36.72,36.74,"91,494","188,719","141,825",0.86,2.34%,2.20%,2.11%,47.32%,"Mar 4, 2016","Feb 10, 2016",0.57,19.92%,-0.94%,39.94,29.49,34.01,33.52,107180000.0,106100000.0,5.57%,97.10%,1210000.0,5.70,1.34%,3940000000.0,3840000000.0,28.96,27.86,1.79,7.63,5.60,7.45,18.76,Dec 31,"Dec 31, 2015",26.40%,31.56%,9.12%,19.22%,515880000.0,4.82,-2.20%,N/A,204860000.0,136210000.0,1.27,59.40%,210150000.0,1.96,110260000.0,15.06,1.48,6.56,196360000.0,39300000.0,3:1,"Apr 22, 2008",N/A
METRO INC,MRU.TO,42.67,42.71,42.06,42.20,"482,452",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Power Financial Corporation,PWF.TO,32.14,32.24,32.31,32.18,"277,284","476,948","573,900",1.57,4.86%,4.70%,4.59%,45.86%,"Apr 29, 2016","Apr 6, 2016",0.94,-13.77%,-0.94%,38.00,28.84,32.02,31.95,713240000.0,244250000.0,N/A,N/A,25110000.0,49.74,N/A,22970000000.0,31750000000.0,10.01,9.15,1.35,0.59,1.42,0.82,6.39,Dec 31,"Sep 30, 2015",6.24%,12.17%,0.77%,12.39%,38910000000.0,54.60,1.60%,N/A,4970000000.0,2300000000.0,3.22,1.30%,4970000000.0,6.97,13760000000.0,43.70,2.83,22.82,5340000000.0,4520000000.0,2:1,"Jul 21, 2004",N/A
Riocan Real Estate Investment Trust,REI-UN.TO,26.63,26.66,26.76,26.77,"658,662","491,297","412,829",1.41,5.27%,5.30%,5.28%,111.90%,"Apr 7, 2016","Mar 29, 2016",0.66,-0.76%,-0.94%,30.25,25.11,27.14,28.49,322360000.0,321730000.0,N/A,N/A,1700000.0,3.14,N/A,8610000000.0,14760000000.0,66.57,N/A,N/A,7.77,1.13,13.22,23.18,Dec 31,"Dec 31, 2015",12.70%,56.61%,2.58%,5.29%,1120000000.0,3.49,N/A,N/A,636620000.0,403300000.0,0.40,N/A,83320000.0,0.26,6210000000.0,78.35,2.25,23.75,609260000.0,-1280000000.0,2:1,"Feb 10, 1998",N/A
MILESTONE APARTMENTS REIT,MST-UN.TO,16.84,16.88,16.62,16.60,"170,449",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cott Corporation,BCB.TO,17.23,17.36,17.49,17.44,"305,753","348,538","260,912",0.32,1.81%,1.80%,N/A,N/A,"Mar 24, 2016","Mar 7, 2016",0.54,55.39%,-0.94%,18.82,10.29,17.35,15.02,122670000.0,107240000.0,N/A,N/A,795200.0,1.85,0.92%,2120000000.0,3470000000.0,N/A,32.66,N/A,0.65,3.00,1.18,9.90,Jan 2,"Jan 2, 2016",0.49%,4.31%,2.65%,3.07%,2940000000.0,28.58,28.60%,N/A,350700000.0,-3400000.0,-0.03,N/A,77100000.0,0.70,1650000000.0,255.58,1.13,5.83,254600000.0,227140000.0,2:1,"Jul 30, 1993",N/A
Thomson Reuters Corporation,TRI.TO,52.19,52.23,52.28,52.19,"487,553","743,532","540,075",1.81,3.45%,1.70%,3.70%,83.86%,"Mar 15, 2016","Feb 19, 2016",0.38,3.74%,-0.94%,55.92,47.25,51.23,52.13,754240000.0,310100000.0,N/A,N/A,30870000.0,42.26,N/A,39370000000.0,47730000000.0,32.63,22.70,1.49,3.29,3.18,3.91,18.03,Dec 31,"Dec 31, 2015",10.28%,14.08%,3.60%,9.45%,12210000000.0,15.63,-2.00%,N/A,2650000000.0,1250000000.0,1.60,-64.40%,1100000000.0,1.44,8770000000.0,66.95,0.66,16.43,2840000000.0,1390000000.0,N/A,N/A,N/A
Sleep Country Canada Holdings Inc.,ZZZ.TO,19.14,19.26,19.05,19.08,"126,696","63,956","66,450",0.52,2.73%,1.60%,N/A,N/A,"Feb 26, 2016","Feb 11, 2016",N/A,N/A,-0.94%,19.94,14.09,19.16,17.34,37650000.0,29540000.0,N/A,N/A,90700.0,1.40,N/A,724730000.0,831690000.0,N/A,14.26,1.23,1.57,3.06,1.82,12.38,Dec 31,"Dec 31, 2015",-10.28%,12.70%,8.03%,-30.33%,456180000.0,16.54,N/A,N/A,67210000.0,-52870000.0,-1.70,N/A,16640000.0,0.44,124950000.0,53.49,0.94,6.22,58990000.0,-20110000.0,N/A,N/A,N/A
DH Corporation,DH.TO,38.83,38.99,38.57,38.47,"173,574","329,649","227,762",1.28,3.32%,3.30%,4.88%,152.38%,"Mar 31, 2016","Mar 15, 2016",0.74,-8.03%,-0.94%,44.14,28.52,37.68,34.62,106440000.0,105490000.0,N/A,N/A,4030000.0000000005,13.69,N/A,4139999999.9999995,6140000000.0,46.36,N/A,N/A,2.72,1.73,4.08,18.40,Dec 31,"Dec 31, 2015",5.58%,13.83%,3.04%,4.44%,1510000000.0,15.13,42.60%,N/A,333850000.0,84000000.0,0.84,-58.80%,66459999.99999999,0.62,2060000000.0,87.08,1.11,22.26,221380000.0,185070000.0,N/A,N/A,N/A
Alimentation Couche-Tard Inc.,ATD-B.TO,57.96,57.98,57.34,57.30,"782,235","932,012","931,206",0.27,0.47%,0.40%,0.51%,8.62%,"Apr 7, 2016","Mar 22, 2016",-0.84,20.39%,-0.94%,64.19,44.29,58.58,59.74,419350000.0,405260000.0,N/A,N/A,3820000.0,2.85,N/A,32900000000.0,34870000000.0,30.35,24.77,2.01,0.96,6.93,1.03,17.48,Apr 26,"Oct 11, 2015",3.23%,4.50%,8.99%,24.72%,33810000000.000004,59.65,-5.70%,N/A,2000000000.0,1090000000.0,1.91,45.20%,473100000.0,0.83,2450000000.0,52.17,1.04,8.27,1830000000.0,974380000.0,3:1,"Apr 23, 2014",N/A
Transcontinental Inc.,TCL-A.TO,20.44,20.53,19.98,20.00,"82,696","167,288","133,003",0.74,3.70%,3.50%,4.18%,22.73%,"Apr 21, 2016","Mar 31, 2016",0.45,16.02%,-0.94%,21.85,13.18,20.11,19.25,63510000.0,65390000.0,N/A,N/A,1960000.0,12.16,N/A,1590000000.0,1950000000.0,6.12,8.79,3.60,0.78,1.54,0.97,5.03,Oct 31,"Oct 31, 2015",13.12%,13.88%,8.39%,26.15%,2000000000.0,25.64,-1.50%,N/A,387300000.0,237000000.0,3.35,836.40%,38600000.0,0.49,384100000.0,37.79,1.26,13.00,286700000.0,222590000.0,2:1,"Apr 8, 2003",N/A
Sienna Senior Living Inc.,SIA.TO,16.46,16.53,16.47,16.47,"58,922","88,364","69,000",0.90,5.46%,5.00%,6.93%,486.80%,"Apr 15, 2016","Mar 29, 2016",0.24,3.71%,-0.94%,18.13,14.50,16.59,16.48,36520000.0,35740000.0,N/A,N/A,196470.0,1.88,N/A,602230000.0,1190000000.0,116.13,N/A,N/A,1.29,3.30,2.55,18.02,Dec 31,"Sep 30, 2015",1.11%,6.36%,1.98%,2.66%,465070000.0,12.79,3.40%,N/A,65830000.0,5170000.0,0.14,102.90%,19960000.0,0.55,605140000.0,332.43,0.63,5.00,47620000.0,38610000.0,N/A,N/A,N/A
"Alamos Gold, Inc.",AGI.TO,7.94,7.95,7.55,7.58,"643,181","1,146,780","970,175",0.03,0.34%,0.80%,1.51%,N/A,"Apr 29, 2016","Apr 13, 2016",1.56,-5.25%,-0.94%,9.00,3.27,7.00,5.37,268160000.00000003,254930000.0,N/A,N/A,4540000.0,4.28,N/A,2130000000.0,2029999999.9999998,N/A,397.00,2.29,6.18,1.08,6.49,34.23,Dec 31,"Sep 30, 2015",-177.97%,-68.47%,-5.44%,-31.62%,312780000.0,1.10,42.10%,N/A,59280000.0,-556650000.0,-1.96,N/A,320800000.0,1.25,318100000.0,17.84,4.97,6.97,54690000.0,-40150000.0,1:2,"Feb 21, 2003",N/A
Mullen Group Ltd.,MTL.TO,14.02,14.12,14.13,14.08,"88,927","243,303","288,838",0.96,6.79%,8.10%,5.10%,823.16%,"Apr 15, 2016","Mar 29, 2016",1.15,-37.69%,-0.94%,22.90,13.02,14.47,15.29,91660000.0,88120000.0,N/A,N/A,2350000.0,14.06,N/A,1290000000.0,1920000000.0,96.37,17.16,1.85,1.07,1.61,1.58,8.38,Dec 31,"Dec 31, 2015",1.10%,11.13%,4.59%,1.57%,1210000000.0,13.25,-16.70%,N/A,229420000.0,13370000.0,0.15,-89.40%,147240000.0,1.61,780900000.0,96.81,2.13,8.80,211570000.0,107650000.0,3:1,"Jul 7, 2005",N/A
Precision Drilling Corporation,PD.TO,5.98,5.99,6.10,5.95,"591,673","2,103,760","1,280,500",N/A,N/A,3.40%,N/A,N/A,"Nov 18, 2015","Nov 4, 2015",3.04,-29.56%,-0.94%,9.40,3.42,5.62,5.21,292940000.0,291420000.0,N/A,N/A,7150000.0,2.43,N/A,1750000000.0,3490000000.0,N/A,N/A,0.28,1.15,0.84,2.24,10.63,Dec 31,"Dec 31, 2015",-23.36%,-10.20%,-1.95%,-15.93%,1560000000.0,5.31,-44.20%,N/A,328020000.0,-363440000.0,-1.24,N/A,444760000.0,1.52,2180000000.0,102.80,3.20,7.24,517020000.0,-85510000.0,1:1,"Nov 7, 2005",N/A
Uranium Participation Corp.,U.TO,4.57,4.62,4.63,4.62,"24,453","148,056","79,088",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.28,-15.34%,-0.94%,5.67,4.47,4.68,5.01,115650000.0,105200000.0,N/A,N/A,58100.0,0.74,N/A,529669999.99999994,519120000.0,23.02,3.79,N/A,18.52,0.75,17.96,N/A,Feb 28,"Nov 30, 2015",80.26%,81.44%,2.08%,3.29%,28910000.0,0.25,N/A,N/A,N/A,23200000.0,0.20,N/A,10560000.0,0.09,0.0,N/A,5.08,6.17,-5610000.0,14170000.0,N/A,N/A,N/A
Bombardier Inc.,BBD-B.TO,1.62,1.63,1.53,1.76,"34,112,034","6,091,830","6,062,200",N/A,N/A,3.30%,N/A,N/A,"Dec 31, 2014","Dec 10, 2014",0.66,-52.14%,-0.94%,4.43,1.61,2.31,2.61,1910000000.0,2080000000.0,N/A,N/A,48230000.0,5.01,N/A,3600000000.0,9410000000.0,N/A,54.00,1.49,0.19,N/A,0.52,15.39,Dec 31,"Dec 31, 2015",-29.42%,1.83%,0.82%,N/A,18170000000.0,8.73,-15.80%,N/A,611000000.0,-5370000000.0,-2.58,N/A,3170000000.0,1.43,8980000000.0,N/A,1.02,-1.99,20000000.0,-1790000000.0,2:1,"Jul 5, 2000",N/A
Seven Generations Energy Ltd.,VII.TO,21.02,21.12,21.31,21.08,"482,879","840,475","848,100",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.49%,-0.94%,21.69,11.25,18.81,15.43,275910000.0,228710000.0,N/A,N/A,4010000.0,4.69,N/A,5810000000.0,6130000000.0,N/A,51.34,35.73,10.54,2.98,12.06,11.47,Dec 31,"Sep 30, 2015",-17.64%,53.77%,5.97%,-6.56%,508760000.0,2.09,-5.10%,N/A,534630000.0,-89750000.0,-0.37,N/A,663790000.0,2.64,1500000000.0,83.49,3.14,7.14,406860000.0,-991790000.0,N/A,N/A,May 2 - May 6 (Est.)
DREAM GLOBAL REIT,DRG-UN.TO,8.82,8.88,8.80,8.80,"156,563",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dream Office Real Estate Investment Trust,D-UN.TO,20.56,20.60,20.68,20.67,"157,730","275,378","397,586",1.50,7.25%,10.90%,7.71%,N/A,"Apr 15, 2016","Mar 29, 2016",0.69,-15.26%,-0.94%,29.44,20.53,24.93,26.45,107490000.0,107220000.0,N/A,N/A,2280000.0,8.00,N/A,2320000000.0,5350000000.0,N/A,N/A,N/A,3.12,0.67,7.11,12.23,Dec 31,"Dec 31, 2015",-7.31%,57.70%,3.94%,-1.52%,753220000.0,6.66,-9.30%,N/A,437570000.0,-55040000.0,-0.49,N/A,2049999.9999999998,0.02,3010000000.0,86.50,0.09,30.79,192510000.0,209060000.0,1:8,"Jun 18, 2001",N/A
Industrial Alliance Insurance and Financial Services Inc.,IAG.TO,39.56,39.80,39.52,39.39,"117,170","221,171","221,275",1.20,3.04%,2.10%,2.74%,30.82%,"Mar 15, 2016","Feb 24, 2016",0.97,-9.37%,-0.94%,46.05,35.00,38.23,40.91,102520000.0,102010000.0,N/A,N/A,740620.0,2.71,N/A,4070000000.0000005,4780000000.0,11.11,8.80,1.74,0.49,1.06,0.58,9.05,Dec 31,"Dec 31, 2015",4.70%,5.76%,0.57%,9.51%,8220000000.000001,81.08,-7.70%,N/A,528600000.0,364000000.0,3.57,-93.50%,1680000000.0,16.34,2390000000.0,57.15,1.28,37.19,537000000.0,410250000.0,2:1,"May 16, 2005",N/A
Quebecor Inc.,QBR-B.TO,32.61,32.82,32.09,32.02,"312,340","294,088","263,181",0.14,0.44%,0.40%,0.47%,11.02%,"Apr 19, 2016","Mar 22, 2016",0.04,-2.62%,-0.94%,35.98,24.57,33.34,32.91,83540000.0,87120000.0,N/A,N/A,9970000.0,36.17,N/A,4010000000.0,10390000000.0,98.38,13.10,0.77,1.00,10.13,2.65,7.68,Dec 31,"Sep 30, 2015",3.24%,18.37%,5.00%,14.69%,3920000000.0,31.92,9.50%,N/A,1350000000.0,117500000.0,0.33,88.70%,18900000.0,0.15,6400000000.0,860.06,0.88,3.17,897100000.0,-253200000.0,2:1,"Aug 16, 2013",N/A
BRP Inc.,DOO.TO,19.54,19.71,19.55,19.56,"55,567","150,973","125,088",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.70,-24.60%,-0.94%,29.80,13.87,18.20,19.84,35920000.0,33549999.999999996,N/A,N/A,730290.0,3.74,N/A,2260000000.0,3230000000.0,26.19,9.62,1.09,0.59,283.33,0.85,6.78,Jan 31,"Oct 31, 2015",2.34%,9.63%,10.21%,"6,830.77%",3790000000.0,32.15,10.00%,N/A,475500000.0,88800000.0,0.75,76.10%,102900000.0,0.89,1070000000.0000001,"8,816.53",1.29,0.07,388000000.0,74700000.0,N/A,N/A,N/A
Canam Group Inc.,CAM.TO,13.00,13.05,12.96,12.87,"73,641","75,552","59,025",0.16,1.23%,1.20%,N/A,14.75%,"Mar 31, 2016","Mar 15, 2016",1.22,0.69%,-0.94%,15.26,11.76,13.09,13.51,47260000.0,42970000.0,N/A,N/A,32229.999999999996,0.41,N/A,616320000.0,801210000.0,12.07,8.87,0.19,0.37,0.96,0.50,7.27,Dec 31,"Dec 31, 2015",2.91%,5.08%,4.70%,8.65%,1610000000.0,37.31,28.70%,N/A,110140000.0,46760000.0,1.08,28.70%,7050000.0,0.15,207440000.0,33.22,2.01,13.55,50650000.0,-40710000.0,N/A,N/A,N/A
Lundin Mining Corporation,LUN.TO,4.23,4.26,4.10,4.08,"1,755,049","2,973,770","1,797,900",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.31,-16.37%,-0.94%,6.46,2.98,4.13,3.87,719630000.0,623080000.0,N/A,N/A,43830000.0,12.29,N/A,3050000000.0,3470000000.0,N/A,N/A,1.69,1.73,0.77,2.04,5.32,Dec 31,"Dec 31, 2015",-17.28%,-3.30%,-0.50%,-6.34%,1700000000.0,2.37,-28.70%,N/A,652590000.0,-294080000.0,-0.41,N/A,556510000.0,0.77,979120000.0,23.05,2.98,5.30,713940000.0,534650000.0,3:1,"Feb 1, 2007",N/A
Macdonald Dettwiler & Associates Ltd.,MDA.TO,83.70,84.25,83.00,83.11,"54,314","65,708","74,675",1.48,1.78%,1.80%,1.71%,37.66%,"Mar 31, 2016","Mar 11, 2016",0.16,-14.17%,-0.94%,100.63,70.55,85.15,83.16,36250000.0,36110000.0,N/A,N/A,395970.0,5.72,N/A,3040000000.0,3910000000.0,31.61,12.10,1.79,1.42,2.79,1.84,12.03,Dec 31,"Sep 30, 2015",4.78%,11.54%,5.01%,10.28%,2120000000.0,58.60,1.70%,N/A,324940000.0,101260000.0,2.66,157.50%,97340000.0,2.69,963080000.0,89.41,1.03,29.75,127400000.0,68810000.0,N/A,N/A,N/A
"Amaya, Inc.",AYA.TO,16.03,16.11,16.32,16.32,"155,474","781,924","276,662",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.88,-42.00%,-0.94%,37.52,13.71,17.79,20.66,133800000.00000001,89890000.0,N/A,N/A,7640000.0,6.97,N/A,2150000000.0,4690000000.0,7.73,6.91,1.17,1.49,1.15,3.23,9.92,Dec 31,"Sep 30, 2015",19.05%,24.17%,3.05%,-0.58%,1460000000.0,10.93,55.20%,N/A,473040000.0,-13630000.0,2.08,N/A,770960000.0,5.79,3320000000.0,126.46,0.88,14.17,379160000.0,350030000.0,N/A,N/A,May 12 - May 16 (Est.)
Manulife Financial Corporation,MFC.TO,18.23,18.24,18.43,18.31,"2,066,465","4,439,750","4,015,150",0.74,4.02%,3.80%,3.31%,63.36%,"Mar 21, 2016","Feb 22, 2016",0.95,-17.66%,-0.94%,24.20,15.32,18.29,19.79,1970000000.0,1970000000.0,N/A,N/A,44140000.0,10.88,N/A,35950000000.0,17340000000.0,17.36,8.60,0.80,1.09,0.94,0.52,4.19,Dec 31,"Dec 31, 2015",6.64%,11.12%,0.36%,6.04%,33450000000.000004,17.05,-33.10%,N/A,4139999999.9999995,2080000000.0,1.05,-68.70%,40860000000.0,20.72,22250000000.0,53.05,5.23,19.60,10330000000.0,-7350000000.0,2:1,"May 23, 2006",N/A
Calfrac Well Services Ltd.,CFW.TO,1.64,1.65,1.59,1.58,"1,188,050","753,040","757,538",0.06,3.93%,5.10%,4.42%,N/A,"Jan 15, 2016","Dec 29, 2015",2.91,-84.20%,-0.94%,10.68,1.06,1.43,1.85,115580000.0,87100000.0,N/A,N/A,1770000.0,1.92,N/A,190710000.0,1010000000.0,N/A,N/A,0.03,0.12,0.29,0.68,53.06,Dec 31,"Dec 31, 2015",-14.82%,-9.20%,-4.33%,-31.24%,1500000000.0,15.59,-61.80%,N/A,19050000.0,-221590000.0,-2.31,N/A,124000000.0,1.07,944250000.0,151.39,2.62,5.43,121060000.0,27780000.0,2:1,"Jun 2, 2014",N/A
Centerra Gold Inc.,CG.TO,6.59,6.60,6.52,6.51,"219,282","994,927","449,038",0.16,2.45%,2.50%,2.10%,70.75%,"Mar 24, 2016","Mar 8, 2016",1.90,5.10%,-0.94%,8.67,5.51,6.55,7.03,242010000.0,145530000.0,N/A,N/A,3290000.0,3.40,N/A,1600000000.0,956520000.0,36.67,20.00,6.35,2.25,0.99,1.53,3.42,Dec 31,"Dec 31, 2015",6.67%,11.90%,2.82%,2.95%,623950000.0,2.70,-58.80%,N/A,279660000.0,41630000.0,0.18,N/A,542230000.0,2.52,76000000.0,5.35,5.72,6.59,333570000.0,118710000.0,3:1,"May 25, 2006",N/A
